Record ID,User ID,User Name,Age,Gender,City,Height (cm),Weight (kg),Workout Type,Workout Duration (Minutes),Calories Burned,Steps,Heart Rate (BPM),Resting Heart Rate (BPM),Sleep Hours,Water Intake (Liters),Daily Calories Intake,Workout Frequency,Fitness Level,Activity Date,Age Group,BMI,BMI Category,Sleep Category,Fitness Level Numeric,Fitness Score,Fitness Score Category,User Fitness Rank,Year,Month,Month Name,Day,Day of Week,Is Weekend,Year-Month
R0311,U027,User_027,30,Male,Multan,178.7,83.2,Weight Training,101,655,12560,158,66,6.9,3.9,2688,4,Intermediate,2026-02-28,26-35,26.053988749812504,Overweight,6-8 hours,2,66.41,Good,23,2026,2,February,28,Saturday,True,2026-02
R0391,U021,User_021,37,Female,Lahore,161.0,85.5,Walking,73,283,12566,144,67,6.8,2.3,2668,5,Advanced,2026-06-23,36-45,32.98483854789553,Obese,6-8 hours,3,53.63,Good,34,2026,6,June,23,Tuesday,False,2026-06
R0007,U030,User_030,38,Male,Faisalabad,160.6,73.8,Walking,44,213,5675,133,73,7.1,2.5,2449,3,Beginner,2026-03-22,36-45,28.613124196467485,Overweight,6-8 hours,1,26.26,Moderate,52,2026,3,March,22,Sunday,True,2026-03
R0185,U051,User_051,23,Female,Sialkot,169.6,89.4,Cardio,46,366,8653,121,78,6.2,2.5,2157,2,Beginner,2025-11-01,18-25,31.08034442862229,Obese,6-8 hours,1,31.24,Moderate,45,2025,11,November,1,Saturday,True,2025-11
R0079,U027,User_027,30,Male,Multan,178.7,83.2,Weight Training,77,552,9766,143,62,5.9,3.4,2577,4,Beginner,2025-12-23,26-35,26.053988749812504,Overweight,Less than 6 hours,1,51.39,Good,23,2025,12,December,23,Tuesday,False,2025-12
R0408,U074,User_074,37,Female,Islamabad,172.6,68.8,Yoga,56,203,9978,150,66,6.1,3.4,2083,4,Intermediate,2025-12-15,36-45,23.094409138941067,Normal Weight,6-8 hours,2,38.37,Moderate,37,2025,12,December,15,Monday,False,2025-12
R0306,U064,User_064,20,Male,Faisalabad,176.7,63.5,HIIT,35,393,11439,121,73,6.1,2.7,3012,4,Intermediate,2025-10-19,18-25,20.33764331232631,Normal Weight,6-8 hours,2,41.0,Moderate,64,2025,10,October,19,Sunday,True,2025-10
R0488,U029,User_029,32,Female,Islamabad,156.6,71.7,Weight Training,67,485,9037,153,78,6.0,3.1,2429,3,Intermediate,2025-09-09,26-35,29.237190685202318,Overweight,Less than 6 hours,2,42.85,Moderate,55,2025,9,September,9,Tuesday,False,2025-09
R0118,U064,User_064,20,Male,Faisalabad,176.7,63.5,Weight Training,65,450,12989,142,64,7.1,3.3,2620,6,Professional,2026-02-24,18-25,20.33764331232631,Normal Weight,6-8 hours,4,60.62,Good,64,2026,2,February,24,Tuesday,False,2026-02
R0138,U086,User_086,43,Male,Multan,168.5,95.0,Running,41,456,10913,141,80,6.6,2.9,2786,5,Intermediate,2026-03-23,36-45,33.45983499018217,Obese,6-8 hours,2,47.2,Moderate,75,2026,3,March,23,Monday,False,2026-03
