User ID,User Name,Average_Fitness_Score,Total_Activities,Average_Calories,Average_Steps,Average_Workout_Duration,Average_Sleep,Rank
U035,User_035,57.28,5,509.6,11617.0,60.4,7.540000000000001,1
U080,User_080,57.2,1,482.0,14014.0,53.0,7.1,2
U018,User_018,54.76,4,452.5,11260.0,61.25,7.475,3
U057,User_057,52.5,6,512.1666666666666,10494.0,59.666666666666664,7.116666666666667,4
U020,User_020,51.0,3,558.0,9534.333333333334,54.666666666666664,7.6000000000000005,5
U041,User_041,49.61,3,442.0,8804.666666666666,66.66666666666667,7.666666666666667,6
U076,User_076,49.45,3,335.6666666666667,12143.0,63.333333333333336,7.3,7
U037,User_037,49.26,3,471.0,10787.333333333334,54.0,6.6000000000000005,8
U075,User_075,49.19,8,498.125,9664.0,61.25,7.199999999999999,9
U031,User_031,48.93,3,468.0,10066.333333333334,64.33333333333333,7.133333333333333,10
U094,User_094,48.71,8,523.0,9533.0,59.125,7.225,11
U054,User_054,48.59,4,478.75,10038.25,55.5,7.525,12
U017,User_017,48.48,7,460.7142857142857,10050.285714285714,58.857142857142854,6.8999999999999995,13
U081,User_081,48.39,3,395.0,9532.666666666666,46.666666666666664,7.633333333333333,14
U010,User_010,48.38,6,427.8333333333333,10043.0,54.0,7.216666666666666,15
U079,User_079,47.87,5,429.4,10950.0,54.8,7.040000000000001,16
U067,User_067,47.27,6,428.8333333333333,10299.166666666666,47.166666666666664,7.533333333333334,17
U007,User_007,47.24,4,436.25,7933.75,71.0,7.525,18
U048,User_048,46.44,1,477.0,9812.0,55.0,5.1,19
U019,User_019,45.95,3,456.6666666666667,9713.666666666666,57.0,6.266666666666667,20
U045,User_045,45.9,4,364.5,10302.5,59.75,6.7749999999999995,21
U061,User_061,45.66,4,503.25,9174.75,51.0,7.475,22
U027,User_027,45.51,6,468.8333333333333,9732.333333333334,60.5,7.3,23
U025,User_025,45.25,6,436.0,10014.833333333334,58.0,7.016666666666667,24
U053,User_053,45.14,4,399.0,9230.0,57.0,7.35,25
U032,User_032,45.02,5,418.4,10223.6,55.8,6.959999999999999,26
U015,User_015,44.96,6,488.3333333333333,9178.5,56.333333333333336,7.2,27
U003,User_003,44.51,4,388.75,8485.5,59.0,7.175,28
U022,User_022,44.26,4,313.25,10457.5,54.0,6.7,29
U078,User_078,44.1,7,442.2857142857143,9063.857142857143,54.285714285714285,7.7,30
U011,User_011,43.7,4,454.75,8710.0,56.25,6.825,31
U083,User_083,43.67,4,391.25,10616.75,51.75,6.3,32
U052,User_052,43.64,6,462.5,9282.833333333334,52.666666666666664,7.533333333333334,33
U021,User_021,43.5,5,379.0,10731.4,54.6,5.86,34
U091,User_091,43.44,3,374.6666666666667,9737.333333333334,60.666666666666664,6.8,35
U014,User_014,43.1,5,537.2,8178.0,53.6,6.959999999999999,36
U074,User_074,42.74,6,411.5,9246.333333333334,53.0,7.1000000000000005,37
U098,User_098,42.51,4,402.5,9448.0,54.25,6.375,38
U047,User_047,42.45,8,442.25,9113.375,49.625,7.2375,39
U004,User_004,42.26,7,361.42857142857144,9382.0,46.857142857142854,7.371428571428572,40
U028,User_028,42.18,3,497.0,8822.0,52.0,7.066666666666666,41
U001,User_001,42.16,9,397.0,8995.333333333334,52.0,6.833333333333333,42
U055,User_055,42.15,6,483.3333333333333,8672.666666666666,55.166666666666664,6.6499999999999995,43
U099,User_099,42.11,3,353.0,9519.0,59.333333333333336,6.1000000000000005,44
U051,User_051,42.09,14,429.57142857142856,8793.785714285714,54.785714285714285,7.3500000000000005,45
U026,User_026,41.82,10,467.4,8747.8,57.2,6.7299999999999995,46
U062,User_062,41.81,7,427.85714285714283,8910.285714285714,47.714285714285715,7.914285714285714,47
U069,User_069,41.8,3,459.6666666666667,8437.666666666666,46.0,7.333333333333333,48
U040,User_040,41.69,8,390.875,9145.75,50.75,6.875,49
U044,User_044,41.69,3,411.0,10330.0,51.666666666666664,6.466666666666666,50
U082,User_082,41.66,4,347.75,8674.75,47.75,6.95,51
U030,User_030,41.43,5,396.4,8644.0,53.8,7.159999999999999,52
U049,User_049,41.12,7,359.0,8745.42857142857,52.57142857142857,7.485714285714286,53
U063,User_063,41.11,9,418.6666666666667,8927.0,49.55555555555556,7.177777777777777,54
U029,User_029,41.08,9,393.22222222222223,9205.555555555555,52.888888888888886,7.0,55
U034,User_034,40.92,7,488.85714285714283,9524.0,57.57142857142857,6.414285714285714,56
U072,User_072,40.71,6,416.1666666666667,10011.333333333334,46.166666666666664,7.25,57
U071,User_071,40.41,3,356.0,10444.0,63.0,6.166666666666667,58
U005,User_005,40.35,9,431.22222222222223,8246.555555555555,49.111111111111114,6.9,59
U084,User_084,40.06,6,405.5,8892.666666666666,45.166666666666664,7.066666666666666,60
U089,User_089,39.94,4,529.75,8381.75,56.5,6.75,61
U033,User_033,39.91,5,342.2,10302.0,55.0,6.68,62
U093,User_093,39.82,4,349.25,10535.75,49.5,7.025,63
U064,User_064,39.75,7,368.0,8714.57142857143,41.57142857142857,6.957142857142857,64
U090,User_090,39.61,9,459.77777777777777,9183.444444444445,53.666666666666664,6.355555555555556,65
U042,User_042,39.51,4,376.75,8299.25,45.0,6.525,66
U008,User_008,39.44,8,377.625,9065.625,44.625,7.4125,67
U009,User_009,39.25,5,423.6,8813.0,46.2,6.720000000000001,68
U096,User_096,39.13,3,383.3333333333333,10451.666666666666,51.333333333333336,6.6000000000000005,69
U087,User_087,39.1,5,352.6,8692.2,49.6,7.76,70
U050,User_050,38.81,5,435.4,8966.2,52.6,6.0200000000000005,71
U002,User_002,38.45,5,363.8,9504.0,40.8,6.34,72
U023,User_023,38.35,6,391.3333333333333,8506.833333333334,50.166666666666664,6.983333333333333,73
U097,User_097,38.23,10,421.3,9130.7,47.1,7.06,74
U086,User_086,38.07,7,354.85714285714283,9117.0,47.857142857142854,7.114285714285714,75
U006,User_006,37.82,7,438.0,8857.57142857143,48.57142857142857,7.028571428571429,76
U088,User_088,37.68,6,343.0,10170.666666666666,42.666666666666664,6.2,77
U066,User_066,37.41,6,309.5,10306.833333333334,46.833333333333336,6.483333333333333,78
U016,User_016,37.2,2,426.0,10957.0,40.0,6.15,79
U038,User_038,36.91,11,377.8181818181818,8891.0,45.27272727272727,6.345454545454545,80
U024,User_024,36.62,4,386.25,9776.75,52.75,6.925,81
U060,User_060,36.6,4,434.75,8384.75,53.0,7.175,82
U077,User_077,36.29,2,206.0,8211.5,44.5,7.35,83
U100,User_100,35.82,4,338.75,9210.0,46.0,8.225,84
U059,User_059,35.63,5,290.8,8936.8,39.0,6.24,85
U073,User_073,35.62,3,211.33333333333334,9366.0,39.666666666666664,7.266666666666667,86
U092,User_092,35.33,7,285.14285714285717,8795.714285714286,44.714285714285715,6.757142857142857,87
U046,User_046,35.2,3,252.0,8522.0,32.0,7.066666666666666,88
U036,User_036,35.02,6,271.3333333333333,9307.5,35.666666666666664,7.616666666666667,89
U039,User_039,34.62,3,381.3333333333333,8152.0,45.333333333333336,6.633333333333333,90
U056,User_056,34.25,8,265.375,8695.375,39.25,6.675,91
U085,User_085,33.34,2,327.0,7974.5,59.5,7.9,92
U012,User_012,33.27,3,449.0,7586.0,46.0,6.0,93
U068,User_068,31.31,5,268.8,8436.0,37.2,6.779999999999999,94
U013,User_013,29.78,5,331.0,7476.0,40.2,6.76,95
U095,User_095,28.51,5,353.4,7054.2,43.8,6.82,96
U043,User_043,28.15,4,336.25,7592.0,38.0,7.575,97
U070,User_070,27.34,7,229.57142857142858,7386.714285714285,38.42857142857143,6.671428571428572,98
U065,User_065,26.53,2,167.0,6173.5,34.0,7.8,99
