Year-Month,Total_Activities,Total_Calories,Average_Calories,Average_Workout_Duration,Average_Steps,Average_Sleep,Calories Change %,Steps Change %,Workout Duration Change %
2025-08,37,15646,422.86486486486484,54.189189189189186,9468.621621621622,6.518918918918919,,,
2025-09,38,13484,354.8421052631579,48.078947368421055,9133.394736842105,7.128947368421052,-13.82,-3.54,-11.28
2025-10,45,16946,376.5777777777778,50.4,9374.577777777778,6.859999999999999,25.67,2.64,4.83
2025-11,37,14593,394.4054054054054,48.86486486486486,8887.243243243243,6.962162162162163,-13.89,-5.2,-3.05
2025-12,43,17930,416.9767441860465,53.48837209302326,9615.976744186046,7.130232558139536,22.87,8.2,9.46
2026-01,34,13798,405.8235294117647,51.794117647058826,9456.264705882353,6.979411764705882,-23.05,-1.66,-3.17
2026-02,34,15105,444.2647058823529,53.44117647058823,9049.64705882353,6.926470588235294,9.47,-4.3,3.18
2026-03,33,13342,404.3030303030303,49.90909090909091,8929.90909090909,6.775757575757575,-11.67,-1.32,-6.61
2026-04,53,20859,393.5660377358491,50.75471698113208,9245.67924528302,7.137735849056604,56.34,3.54,1.69
2026-05,39,16786,430.4102564102564,51.743589743589745,9426.923076923076,7.246153846153847,-19.53,1.96,1.95
2026-06,53,22367,422.0188679245283,50.75471698113208,9529.509433962265,6.816981132075472,33.25,1.09,-1.91
2026-07,43,17687,411.3255813953488,51.093023255813954,8979.372093023256,7.28139534883721,-20.92,-5.77,0.67
2026-08,31,11308,364.7741935483871,47.516129032258064,8642.225806451614,7.019354838709678,-36.07,-3.75,-7.0
